TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
2312,1160,1152,165,165,1185,578,50,0,1413,128,128,521,209,92,120,393,383,129,88,1576,2191,46,61,71477,93,876,124,194,1118,247,2024,300,"Census Tract 186.20, San Diego County, California",6,73,18620
1742,811,931,333,333,1021,545,15,0,714,113,113,0,236,69,18,203,552,48,146,1404,1731,84,10,85154,93,435,0,124,602,162,1590,432,"Census Tract 186.21, San Diego County, California",6,73,18621
4926,2721,2205,218,196,3054,2032,0,0,2085,377,377,811,455,232,127,591,689,251,186,2805,4502,67,592,55417,200,1026,258,599,2277,556,4391,638,"Census Tract 186.22, San Diego County, California",6,73,18622
39373,12169,27204,906,798,28428,21946,562,96,11660,3635,3860,2891,2174,1274,371,2955,4375,156,8,11608,34743,361,1745,51731,655,2240,21265,4829,14156,1842,17354,881,"Census Tract 187, San Diego County, California",6,73,18700
3868,2194,1674,125,125,3329,2706,106,23,905,42,42,64,614,226,383,526,739,187,26,2841,3661,47,128,95888,265,461,110,391,2068,577,3628,469,"Census Tract 188.01, San Diego County, California",6,73,18801
4420,2211,2209,63,63,3851,2931,7,0,1217,82,82,201,752,311,346,446,771,355,36,3201,4133,135,409,83977,163,582,24,577,1893,811,4077,459,"Census Tract 188.03, San Diego County, California",6,73,18803
4977,2552,2425,127,109,4191,3903,43,0,642,41,41,211,861,399,590,645,945,79,40,3988,4859,48,269,125625,80,712,0,422,3041,1136,4608,631,"Census Tract 188.04, San Diego County, California",6,73,18804
3603,1676,1927,140,123,3212,2889,0,0,507,0,0,68,903,223,375,285,501,43,64,2607,3460,144,214,113214,41,690,18,340,1873,846,3344,307,"Census Tract 188.05, San Diego County, California",6,73,18805
5531,3056,2475,53,53,3736,2039,101,0,3157,83,107,307,406,173,98,1099,701,301,212,3403,4668,162,1467,56569,32,1203,142,611,2358,552,4704,507,"Census Tract 189.03, San Diego County, California",6,73,18903
5833,2563,3270,100,100,4346,2015,66,49,3590,17,45,1073,577,173,70,775,843,184,400,3415,5199,128,1194,51331,72,1405,128,739,1898,590,5035,663,"Census Tract 189.04, San Diego County, California",6,73,18904
6374,3269,3105,130,104,4917,1602,0,16,4369,187,193,772,441,263,118,914,808,268,452,3644,5845,201,1281,59280,220,1975,122,865,2325,621,5587,492,"Census Tract 189.05, San Diego County, California",6,73,18905
6466,3229,3237,101,101,5036,2230,57,32,3753,167,175,494,606,226,186,655,1015,162,631,3945,5865,269,958,67208,152,1991,89,810,2871,868,5034,542,"Census Tract 189.06, San Diego County, California",6,73,18906
5975,3003,2972,229,229,4973,4443,64,0,994,0,0,316,1030,392,432,775,1343,108,29,4820,5818,131,490,95987,237,664,24,482,3139,763,5571,808,"Census Tract 190.01, San Diego County, California",6,73,19001
2466,1183,1283,210,210,2018,1465,4,0,674,52,52,121,509,133,154,211,467,114,109,1891,2312,35,166,83865,45,564,6,198,1247,584,2160,194,"Census Tract 190.02, San Diego County, California",6,73,19002
5633,2858,2775,148,138,4632,3402,0,0,1706,286,286,75,1293,213,240,449,1534,267,21,4309,5103,60,714,88616,130,777,0,423,2718,1380,5536,767,"Census Tract 191.03, San Diego County, California",6,73,19103
6499,3071,3428,356,338,5073,4074,103,26,1638,0,38,505,1066,240,593,708,1724,230,65,5026,6096,34,289,116842,277,638,65,494,3409,1388,6201,896,"Census Tract 191.05, San Diego County, California",6,73,19105
2101,1126,975,4,4,1641,1239,280,0,557,28,28,30,262,179,78,284,520,61,24,1493,1999,21,118,86111,103,205,0,165,1019,309,1951,262,"Census Tract 191.07, San Diego County, California",6,73,19107
2606,1344,1262,77,77,949,587,1146,6,771,18,18,86,198,93,92,351,442,241,110,1686,2312,33,278,81867,57,438,2,344,1156,229,1924,134,"Census Tract 191.08, San Diego County, California",6,73,19108
4442,1763,2679,76,76,2938,2195,51,12,1877,101,122,224,425,325,248,564,1264,146,31,3203,4153,37,136,84770,126,893,21,386,1750,831,3669,247,"Census Tract 191.09, San Diego County, California",6,73,19109
5697,3153,2544,49,49,4133,2550,569,1,2320,22,22,352,602,250,507,704,771,65,338,3415,5250,148,817,111776,81,1133,0,659,2557,705,5012,419,"Census Tract 191.10, San Diego County, California",6,73,19110
4426,2171,2255,293,277,3092,1961,251,2,1547,16,16,321,436,168,144,380,938,185,228,2633,4093,88,493,110130,115,739,0,569,1773,582,3987,262,"Census Tract 191.11, San Diego County, California",6,73,19111
2763,1363,1400,71,71,2049,1510,0,23,856,87,106,174,462,208,131,431,389,123,49,1907,2604,36,134,103140,70,357,0,346,1287,495,2576,286,"Census Tract 192.03, San Diego County, California",6,73,19203
6369,3139,3230,312,296,3851,1649,128,282,3751,336,336,1253,558,339,145,1116,940,371,291,4249,5922,346,876,58750,85,2384,8,699,2367,542,5462,857,"Census Tract 192.05, San Diego County, California",6,73,19205
